"The temperature is 29.8°„C, humidity is 59.1%, PM2.5 is 5.2 ¶Ãg/m3, PM10 is 17.9 ¶Ãg/m3, NO? is 18.9 ¶Ãg/m3, SO? is 9.2 ¶Ãg/m3, CO is 1.72 ppm, the proximity to industrial areas is 6.3 km, and the population density is 319 people/km2."
"The temperature is 28.3°„C, humidity is 75.6%, PM2.5 is 2.3 ¶Ãg/m3, PM10 is 12.2 ¶Ãg/m3, NO? is 30.8 ¶Ãg/m3, SO? is 9.7 ¶Ãg/m3, CO is 1.64 ppm, the proximity to industrial areas is 6.0 km, and the population density is 611 people/km2."
"The temperature is 23.1°„C, humidity is 74.7%, PM2.5 is 26.7 ¶Ãg/m3, PM10 is 33.8 ¶Ãg/m3, NO? is 24.4 ¶Ãg/m3, SO? is 12.6 ¶Ãg/m3, CO is 1.63 ppm, the proximity to industrial areas is 5.2 km, and the population density is 619 people/km2."
"The temperature is 27.1°„C, humidity is 39.1%, PM2.5 is 6.1 ¶Ãg/m3, PM10 is 6.3 ¶Ãg/m3, NO? is 13.5 ¶Ãg/m3, SO? is 5.3 ¶Ãg/m3, CO is 1.15 ppm, the proximity to industrial areas is 11.1 km, and the population density is 551 people/km2."
"The temperature is 26.5°„C, humidity is 70.7%, PM2.5 is 6.9 ¶Ãg/m3, PM10 is 16.0 ¶Ãg/m3, NO? is 21.9 ¶Ãg/m3, SO? is 5.6 ¶Ãg/m3, CO is 1.01 ppm, the proximity to industrial areas is 12.7 km, and the population density is 303 people/km2."
"The temperature is 39.4°„C, humidity is 96.6%, PM2.5 is 14.6 ¶Ãg/m3, PM10 is 35.5 ¶Ãg/m3, NO? is 42.9 ¶Ãg/m3, SO? is 17.9 ¶Ãg/m3, CO is 1.82 ppm, the proximity to industrial areas is 3.1 km, and the population density is 674 people/km2."
"The temperature is 41.7°„C, humidity is 82.5%, PM2.5 is 1.7 ¶Ãg/m3, PM10 is 15.8 ¶Ãg/m3, NO? is 31.1 ¶Ãg/m3, SO? is 12.7 ¶Ãg/m3, CO is 1.8 ppm, the proximity to industrial areas is 4.6 km, and the population density is 735 people/km2."
"The temperature is 31.0°„C, humidity is 59.6%, PM2.5 is 5.0 ¶Ãg/m3, PM10 is 16.8 ¶Ãg/m3, NO? is 24.2 ¶Ãg/m3, SO? is 13.6 ¶Ãg/m3, CO is 1.38 ppm, the proximity to industrial areas is 6.3 km, and the population density is 443 people/km2."
"The temperature is 29.4°„C, humidity is 93.8%, PM2.5 is 10.3 ¶Ãg/m3, PM10 is 22.7 ¶Ãg/m3, NO? is 45.1 ¶Ãg/m3, SO? is 11.8 ¶Ãg/m3, CO is 2.03 ppm, the proximity to industrial areas is 5.4 km, and the population density is 486 people/km2."
"The temperature is 33.2°„C, humidity is 80.5%, PM2.5 is 11.1 ¶Ãg/m3, PM10 is 24.4 ¶Ãg/m3, NO? is 32.0 ¶Ãg/m3, SO? is 15.3 ¶Ãg/m3, CO is 1.69 ppm, the proximity to industrial areas is 4.9 km, and the population density is 535 people/km2."
"The temperature is 26.3°„C, humidity is 65.7%, PM2.5 is 1.3 ¶Ãg/m3, PM10 is 5.5 ¶Ãg/m3, NO? is 18.3 ¶Ãg/m3, SO? is 5.9 ¶Ãg/m3, CO is 0.85 ppm, the proximity to industrial areas is 13.0 km, and the population density is 529 people/km2."
